CLASS, Eyebrows_1, Eyebrows_2, Eyebrows_3, Eyebrows_4, Eyebrows_5, Eyebrows_6, Eyebrows_7, Eyebrows_8, Eyebrows_9, Eyebrows_10, Eyes_1, Eyes_2, Eyes_3, Eyes_4, Eyes_5, Eyes_6, Eyes_7, Eyes_8, Eyes_9, Eyes_10, Nose_1, Nose_2, Nose_3, Nose_4, Nose_5, Nose_6, Nose_7, Nose_8, Nose_9, Nose_10, Mouth_1, Mouth_2, Mouth_3, Mouth_4, Mouth_5, Mouth_6, Mouth_7, Mouth_8, Mouth_9, Mouth_10, Jaw_1, Jaw_2, Jaw_3, Jaw_4, Jaw_5, Jaw_6, Jaw_7, Jaw_8, Jaw_9, Jaw_10
0, 228, 557, 556, 1807, 3459, 2514, 1042, 718, 686, 933, 68, 407, 272, 1737, 4362, 2947, 905, 583, 661, 558, 147, 385, 414, 1559, 2713, 2128, 927, 512, 535, 680, 74, 211, 241, 1189, 2368, 1818, 583, 351, 350, 315, 370, 587, 545, 875, 1066, 990, 721, 587, 706, 1053
1, 528, 889, 733, 1452, 2422, 1818, 1114, 928, 1099, 1517, 213, 579, 625, 1933, 3496, 2341, 1002, 696, 719, 896, 324, 573, 609, 1341, 2294, 1832, 902, 603, 602, 920, 362, 487, 369, 860, 1629, 1200, 560, 523, 608, 902, 472, 551, 392, 785, 1064, 1015, 586, 635, 821, 1179
0, 997, 1171, 862, 1214, 1795, 1317, 887, 1121, 1228, 1908, 623, 886, 860, 1608, 2622, 1751, 1030, 902, 862, 1356, 899, 885, 716, 900, 1136, 974, 716, 896, 1104, 1774, 563, 663, 478, 802, 1203, 788, 558, 634, 672, 1139, 860, 801, 425, 447, 575, 535, 456, 746, 1039, 1616
0, 388, 771, 657, 1618, 2788, 2070, 1075, 862, 950, 1321, 180, 506, 473, 1860, 3684, 2544, 1034, 605, 746, 868, 354, 613, 547, 1285, 1862, 1691, 1009, 681, 771, 1187, 105, 269, 248, 1010, 2351, 1789, 581, 355, 314, 478, 498, 679, 456, 674, 743, 872, 647, 685, 935, 1311
0, 1106, 1220, 782, 1063, 1568, 1173, 902, 1162, 1354, 2170, 554, 821, 806, 1627, 2815, 1844, 1019, 818, 816, 1380, 698, 794, 687, 1017, 1531, 1253, 832, 800, 937, 1451, 344, 485, 481, 983, 1764, 1133, 586, 488, 433, 803, 866, 748, 490, 481, 532, 553, 474, 726, 1048, 1582
1, 734, 1007, 793, 1387, 2235, 1577, 964, 1025, 1041, 1737, 354, 741, 675, 1749, 3287, 2023, 978, 786, 773, 1134, 409, 598, 660, 1386, 2074, 1586, 870, 682, 664, 1071, 226, 440, 389, 1050, 2053, 1213, 578, 460, 431, 660, 629, 622, 455, 697, 935, 828, 555, 657, 893, 1229
0, 1195, 1224, 830, 1031, 1360, 1032, 858, 1242, 1426, 2302, 647, 970, 862, 1592, 2403, 1615, 1013, 946, 951, 1501, 661, 815, 765, 1051, 1494, 1127, 807, 841, 974, 1465, 612, 674, 511, 741, 992, 813, 537, 682, 737, 1201, 1073, 788, 356, 309, 320, 393, 370, 774, 1251, 1866
1, 573, 769, 909, 1616, 2764, 1854, 981, 830, 836, 1368, 354, 672, 709, 1975, 3353, 2192, 1033, 683, 597, 932, 538, 719, 706, 1251, 1796, 1416, 878, 716, 760, 1220, 266, 482, 454, 1080, 1905, 1167, 566, 467, 433, 680, 623, 608, 499, 704, 926, 849, 543, 663, 844, 1241
1, 1179, 1267, 765, 993, 1475, 1085, 897, 1204, 1386, 2249, 540, 867, 838, 1635, 2836, 1772, 979, 880, 831, 1322, 785, 818, 682, 973, 1463, 1210, 768, 801, 955, 1545, 652, 723, 447, 624, 1162, 697, 468, 676, 802, 1249, 751, 692, 430, 583, 872, 676, 475, 733, 876, 1412
0, 1027, 1201, 661, 1047, 1933, 1213, 738, 1235, 1324, 2121, 454, 873, 744, 1707, 2944, 1799, 979, 842, 868, 1290, 546, 707, 597, 1110, 2101, 1309, 746, 759, 851, 1274, 264, 487, 428, 943, 1721, 1297, 584, 515, 484, 777, 717, 685, 478, 628, 662, 654, 478, 731, 1010, 1457
